"Name","ICAO","Location"
"Neustadt-Glewe","EDAN","53° 22′ N, 11° 37′ O"
"Niederstetten","ETHN","49° 24′ N, 9° 58′ O"
"Nienburg-Holzbalge","EDXI","52° 43′ N, 9° 10′ O"
"Nittenau-Bruck","EDNM","49° 13′ N, 12° 18′ O"
"Norden-Norddeich","EDWS","53° 38′ N, 7° 11′ O"
"Norderney","EDWY","53° 42′ N, 7° 14′ O"
"Nordhausen","EDAO","51° 30′ N, 10° 50′ O"
"Nordholz-Spieka","EDXN","53° 46′ N, 8° 39′ O"
"Nordhorn-Lingen","EDWN","52° 27′ N, 7° 11′ O"
"Nördlingen","EDNO","48° 52′ N, 10° 30′ O"
"Northeim","EDVN","51° 42′ N, 10° 2′ O"
"Obermehler-Schlotheim","EDCO","51° 16′ N, 10° 38′ O"
"Ober-Mörlen","EDFP","50° 22′ N, 8° 43′ O"
"Oberrissdorf","EDUO","51° 33′ N, 11° 36′ O"
"Oberschleißheim","EDNX","48° 14′ N, 11° 34′ O"
"Ochsenfurt","EDGJ","49° 40′ N, 10° 4′ O"
"Oehna","EDBO","51° 54′ N, 13° 3′ O"
"Oerlinghausen","EDLO","51° 56′ N, 8° 40′ O"
"Offenburg","EDTO","48° 27′ N, 7° 55′ O"
"Oldenburg-Hatten","EDWH","53° 4′ N, 8° 19′ O"
"Oppenheim","EDGP","49° 51′ N, 8° 23′ O"
"Oschatz","EDOQ","51° 18′ N, 13° 5′ O"
"Oschersleben","EDOL","52° 2′ N, 11° 12′ O"
"Osnabrück-Atterheide","EDWO","52° 17′ N, 7° 58′ O"
"Ottengrüner Heide","EDQO","50° 14′ N, 11° 44′ O"
"Paderborn-Haxterberg","EDLR","51° 41′ N, 8° 47′ O"
"Pasewalk","EDCV","53° 30′ N, 13° 57′ O"
"Pattonville","EDTQ","48° 52′ N, 9° 13′ O"
"Peenemünde","EDCP","54° 9′ N, 13° 46′ O"
"Pegnitz-Zipser Berg","EDQZ","49° 46′ N, 11° 34′ O"
"Peine-Eddesse","EDVP","52° 24′ N, 10° 14′ O"
"Pellworm","EDHP","54° 32′ N, 8° 41′ O"
"Pennewitz","EDOS","50° 40′ N, 11° 3′ O"
"Pfarrkirchen","EDNP","48° 25′ N, 12° 52′ O"
"Pfullendorf","EDTP","47° 55′ N, 9° 15′ O"
"Pinnow","EDBP","53° 37′ N, 11° 34′ O"
"Pirmasens","EDRP","49° 16′ N, 7° 29′ O"
"Pirna-Pratzschwitz","EDAR","50° 59′ N, 13° 55′ O"
"Plettenberg-Hüinghausen","EDKP","51° 12′ N, 7° 47′ O"
"Porta Westfalica","EDVY","52° 13′ N, 8° 52′ O"
"Pritzwalk-Sommersberg","EDBU","53° 11′ N, 12° 11′ O"
"Purkshof","EDCX","54° 10′ N, 12° 15′ O"
"Radolfzell-Stahringen","EDSR","47° 29′ N, 8° 35′ O"
"Rechlin-Lärz","EDAX","53° 18′ N, 12° 45′ O"
"Regensburg-Oberhub","EDNR","49° 9′ N, 12° 5′ O"
"Reichelsheim","EDFB","50° 20′ N, 8° 53′ O"
"Reinsdorf","EDOD","51° 54′ N, 13° 12′ O"
"Rendsburg-Schachtholm","EDXR","54° 13′ N, 9° 36′ O"
"Renneritz","EDOX","51° 36′ N, 12° 14′ O"
"Rerik-Zweedorf","EDCR","54° 5′ N, 11° 39′ O"
"Rheine-Eschendorf","EDXE","52° 17′ N, 7° 30′ O"
"Riesa-Göhlis","EDAU","51° 18′ N, 13° 21′ O"
"Rinteln","EDVR","52° 11′ N, 9° 3′ O"
"Roitzschjora","EDAW","51° 35′ N, 12° 30′ O"
"Rosenthal-Field Plössen","EDQP","49° 52′ N, 11° 47′ O"
"Rotenburg (Wümme)","EDXQ","53° 8′ N, 9° 21′ O"
"Rothenburg o. d. T.","EDFR","49° 23′ N, 10° 13′ O"
"Rothenburg/Görlitz","EDBR","51° 22′ N, 14° 57′ O"
"Rottweil-Zepfenhahn","EDSZ","48° 11′ N, 8° 43′ O"
"Rudolstadt-Groschwitz","EDOK","50° 44′ N, 11° 14′ O"
"Rügen","EDCG","54° 23′ N, 13° 20′ O"
"Ruppiner Land","EDBF","52° 48′ N, 12° 46′ O"
"Saarlouis-Düren","EDRJ","49° 19′ N, 6° 40′ O"
"Saarmund","EDCS","52° 18′ N, 13° 6′ O"
"Salzgitter-Drütte","EDVS","52° 9′ N, 10° 26′ O"
"Salzgitter-Schäferstuhl","EDVJ","52° 2′ N, 10° 22′ O"
"Saulgau","EDTU","48° 2′ N, 9° 30′ O"
